Raised,ESG,E,S,G,Cluster
6.207379569829909460e-01,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,4.000000000000000083e-03,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.846410118649074728e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.840010504933043689e-01,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.200000000000000025e-02,6.000000000000000125e-03,6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.082402793713810429e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,6.000000000000000125e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.207445310209162681e-01,1.000000000000000021e-02,0.000000000000000000e+00,6.000000000000000125e-03,4.000000000000000083e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.691571990777717416e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.499091098814083756e-01,1.099999999999999936e-02,0.000000000000000000e+00,8.999999999999999320e-03,2.000000000000000042e-03,7.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.148409245169863258e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000000e+00,1.000000000000000000e+00
5.332525960297075374e-01,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.200000000000000025e-02,0.000000000000000000e+00,8.999999999999999320e-03,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-8.941511526426632051e-02,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000000e+00,1.000000000000000000e+00
1.240982975450116044e+00,8.000000000000000167e-03,0.000000000000000000e+00,4.000000000000000083e-03,4.000000000000000083e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.750560509847000901e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.999999999999999320e-03,0.000000000000000000e+00,8.999999999999999320e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.509960769755972765e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,4.000000000000000083e-03,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.347856112271228479e-01,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.755420652369082679e-01,6.000000000000000125e-03,6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.057759336558776297e-01,4.000000000000000083e-03,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.000000000000000021e-02,8.000000000000000167e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.460670273355125559e+00,6.000000000000000125e-03,4.000000000000000083e-03,2.000000000000000042e-03,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.765237636147066191e-01,1.000000000000000021e-02,4.000000000000000083e-03,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-02,1.400000000000000029e-02,2.000000000000000042e-03,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.024659695769817164e-01,6.000000000000000125e-03,2.000000000000000042e-03,0.000000000000000000e+00,4.000000000000000083e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,1.000000000000000021e-02,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00
-7.749963147604137237e-02,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.926600413352561048e-02,1.000000000000000021e-02,0.000000000000000000e+00,6.000000000000000125e-03,4.000000000000000083e-03,6.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,2.000000000000000042e-03,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.707991254105339696e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
7.370074604659216932e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.600000000000000033e-02,8.000000000000000167e-03,2.000000000000000042e-03,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.416518720432163647e+00,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.999999999999999320e-03,0.000000000000000000e+00,8.999999999999999320e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.382527201793588345e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.670949038067328085e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-7.283733181362796183e-02,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,2.000000000000000042e-03,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.737573090805673848e-01,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.594351807744316118e-01,6.000000000000000125e-03,2.000000000000000042e-03,2.000000000000000042e-03,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.080346155264241714e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
5.648585913200607905e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.165520640620809512e-02,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.754124614363194168e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.863866302398824171e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.861963408949334209e-01,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.537625315097365108e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,7.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.132460828407162168e-01,1.099999999999999936e-02,0.000000000000000000e+00,8.999999999999999320e-03,2.000000000000000042e-03,2.000000000000000000e+00,1.000000000000000000e+00
-9.583114499638745176e-02,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,4.000000000000000000e+00,1.000000000000000000e+00
5.666697536289195813e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.645697378193051452e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.416599287972526433e-01,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.707991254105339696e-01,6.000000000000000125e-03,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000083e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.999999999999999320e-03,0.000000000000000000e+00,8.999999999999999320e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.440544451566718454e-01,6.000000000000000125e-03,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000083e-03,4.000000000000000000e+00,0.000000000000000000e+00
3.762053281525238879e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.849504854073069082e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.349666738103778840e+01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
4.914798429103541255e-01,8.000000000000000167e-03,0.000000000000000000e+00,4.000000000000000083e-03,4.000000000000000083e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.499999999999999944e-02,0.000000000000000000e+00,1.099999999999999936e-02,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00
8.748399020707327278e-02,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.436589229213488084e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.056258048331185168e-02,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,8.999999999999999320e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.799999999999999864e-02,0.000000000000000000e+00,8.999999999999999320e-03,1.000000000000000021e-02,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
