id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
1135,OneForOne Coin,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1136,Pacmancoin,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1137,Pressco,Lithuania,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1138,RET,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1139,Routecoin,Canada,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1140,Saske,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1141,Shift,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1142,ShopCorn,Japan,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1143,Social Media Income,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1144,Spitball,Israel,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1145,Stern,Germany,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1146,Storeplex,United Kingdom,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1147,STREAM,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1148,Sun Fund,United States,0,0.0,0.002,0.002,0.0,0.0,"(4, 4)"
1149,SuperDAO,Nigeria,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1150,The Mill Of Blood,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1152,Trabet,Switzerland,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1153,TravelFlex,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1154,Uledger,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1155,Veritas Mining,Thailand,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1156,VMC,Netherlands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1157,Zerium,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1158,Aditus,Singapore,2018,7100193.0,0.0,0.0,0.0,0.0,"(0, 2)"
1159,Alphaslot,Singapore,2019,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1160,Apis Token,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1161,Arcana,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1163,Bitlem Network,Mexico,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1164,Blockchain.aero,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1165,Blue Chip Vision,Cayman Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1166,BM Tokens,Canada,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1167,BPC Platform,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1168,Brewers <U+0421>oin,Netherlands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1169,CANNEX,British Virgin Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1171,Datafund,Slovenia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1172,DenCity,Croatia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1173,ELBYTE NETWORK,Israel,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1174,Ethergo,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1175,EXOCOIN,Portugal,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1176,Fast Access Blockchain,Cayman Islands,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1177,Filipcoin,Philippines,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1178,Flash,Czech Republic,0,633385.0,0.0,0.0,0.0,0.0,"(3, 3)"
1179,Follow Extension,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1180,Gems,Belarus,0,740500.0,0.0,0.0,0.0,0.0,"(1, 1)"
1181,Getline,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1182,HighIoT,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1183,Hilo.io,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1184,Lesschain,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1185,Loomia,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1186,Loyaltychain,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1187,Magnum Link,Sierra Leone,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1188,Medicorum,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1189,Money Energy,Russian Federation,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1190,MoneyTap Token,Japan,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1191,Moosecoin,Netherlands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1192,Murmur,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1193,Myrymax,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1194,NNS,China,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1195,Osn,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1196,PAL Network,Singapore,0,20480000.0,0.0,0.0,0.0,0.0,"(0, 2)"
1197,Photon,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1199,Quantum Gold,Switzerland,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1200,R Pay,Netherlands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1201,ReNu,Turkey,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1202,RRchain,Turkey,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1203,SamBanx,Turkey,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1204,Span Coin,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1205,Staking Coin,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1206,USDX Protocol,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1207,Velocity Ledger,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1208,VirtuTV,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1209,88 Coin,Taiwan,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1210,AERGO,China,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1211,Aita.network,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
